GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avconv4java,com.github.vbauer.avconv4java.type,AVVideoCodecType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVHardwareAccelerationType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVCodecFlagType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVMovFlagsType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVMotionEstimationType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVVideoCodecType,5,46,0,0,0,8,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVFormatFlagType,5,112,0,0,0,14,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVVideoSyncType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVMotionEstimationType,5,145,0,0,0,17,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVErrorDetectionType,5,68,0,0,0,10,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVHardwareAccelerationType,5,57,0,0,0,9,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVStrictType,5,79,0,0,0,11,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVCodecFlagType,5,277,0,0,0,29,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVAudioCodecType,5,68,0,0,0,10,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVFileFormatType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVStreamType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVErrorDetectionType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVVideoSizeType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVMovFlagsType,5,79,0,0,0,11,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVLogLevelType.Constants,0,6,0,0,0,2,0,1,0,1
avconv4java,com.github.vbauer.avconv4java.type,AVVideoSyncType,5,68,0,0,0,10,1,5,1,5
avconv4java,com.github.vbauer.avconv4java.type,AVDebugInfoType.Constants,0,6,0,0,0,2,0,1,0,1
